Time,Event
00:00.045,Lemme At'em prepares  Holy Spirit  on Erichthonios *7730*
00:00.801,Lemme At'em Holy Spirit Erichthonios *7730*
00:01.958,Lemme At'em prepares  Fast Blade  on Erichthonios *5364*
00:02.137,Lemme At'em prepares  attack  on Erichthonios 1231
00:02.583,Lemme At'em Fast Blade Erichthonios *5364*
00:02.672,Lemme At'em attack Erichthonios 1231
00:04.408,Lemme At'em prepares  Riot Blade  on Erichthonios *10035* (+43%)+25% damage
00:04.408,Lemme At'em prepares  attack  on Erichthonios 1527+25% damage
00:04.942,Lemme At'em attack Erichthonios 1527
00:05.076,Lemme At'em prepares  Circle of Scorn  on Erichthonios 2191+25% damage
00:05.165,Lemme At'em Riot Blade Erichthonios *10035* (+43%)
00:06.102,Lemme At'em Circle of Scorn Erichthonios 2191
00:06.678,Lemme At'em prepares  attack  on Erichthonios 1846 (Direct Hit)+25% damage
00:06.856,Lemme At'em prepares  Goring Blade  on Erichthonios 5245 (+60%)+25% damage
00:07.213,Lemme At'em attack Erichthonios 1846 (Direct Hit)
00:07.213,"Lemme At'em Circle of Scorn Erichthonios Tick  725 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
00:07.391,Lemme At'em Goring Blade Erichthonios 5245 (+60%)
00:08.950,Lemme At'em prepares  attack  on Erichthonios 1716+45% damage
00:09.261,Lemme At'em prepares  Fast Blade  on Erichthonios 6486 (Direct Hit)+53% damage
00:09.482,Lemme At'em attack Erichthonios 1716
00:09.883,Lemme At'em Fast Blade Erichthonios 6486 (Direct Hit)
00:09.927,Lemme At'em prepares  Expiacion  on Erichthonios 8923+53% damage
00:10.195,"Lemme At'em Circle of Scorn Erichthonios Tick  840 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
00:10.195,"Lemme At'em Goring Blade Erichthonios Tick  1827 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
00:10.283,Lemme At'em Expiacion Erichthonios 8923
00:10.551,Lemme At'em prepares  Intervene  on Erichthonios *6245*+53% damage
00:11.130,Lemme At'em Intervene Erichthonios *6245*
00:11.218,Lemme At'em prepares  attack  on Erichthonios 2215 (Direct Hit)+53% damage
00:11.664,Lemme At'em prepares  Riot Blade  on Erichthonios 8104 (+43%)+53% damage
00:11.753,Lemme At'em attack Erichthonios 2215 (Direct Hit)
00:12.289,Lemme At'em prepares  Requiescat  on Erichthonios 9023+23% damage
00:12.423,Lemme At'em Riot Blade Erichthonios 8104 (+43%)
00:12.914,Lemme At'em Requiescat Erichthonios 9023
00:13.182,"Lemme At'em Circle of Scorn Erichthonios Tick  786 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
00:13.182,"Lemme At'em Goring Blade Erichthonios Tick  1708 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
00:13.493,Lemme At'em prepares  attack  on Erichthonios 1772+53% damage
00:14.029,Lemme At'em attack Erichthonios 1772
00:14.072,Lemme At'em prepares  Royal Authority  on Erichthonios 11881 (+69%)+53% damage
00:14.651,Lemme At'em Royal Authority Erichthonios 11881 (+69%)
00:14.740,Lemme At'em prepares  Intervene  on Erichthonios *6153*+53% damage
00:15.320,Lemme At'em Intervene Erichthonios *6153*
00:15.766,Lemme At'em prepares  attack  on Erichthonios *3752* (Direct Hit)+53% damage
00:16.211,"Lemme At'em Circle of Scorn Erichthonios Tick  782 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
00:16.211,"Lemme At'em Goring Blade Erichthonios Tick  1701 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
00:16.298,Lemme At'em attack Erichthonios *3752* (Direct Hit)
00:16.565,Lemme At'em prepares  Atonement  on Erichthonios 11349+53% damage
00:17.855,Lemme At'em Atonement Erichthonios 11349
00:18.034,Lemme At'em prepares  attack  on Erichthonios 1919+53% damage
00:18.569,Lemme At'em attack Erichthonios 1919
00:18.970,Lemme At'em prepares  Atonement  on Erichthonios 11569+53% damage
00:19.193,"Lemme At'em Circle of Scorn Erichthonios Tick  752 (T: 661, C: 24.2%, D: 19.2%, P/R: 18.36, G: 688.34, M: 1.25, S: 791)+25% damage"
00:19.193,"Lemme At'em Goring Blade Erichthonios Tick  1635 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
00:20.261,Lemme At'em Atonement Erichthonios 11569
00:20.305,Lemme At'em prepares  attack  on Erichthonios 2338 (Direct Hit)+53% damage
00:20.841,Lemme At'em attack Erichthonios 2338 (Direct Hit)
00:21.376,Lemme At'em prepares  Atonement  on Erichthonios 11653+53% damage
00:22.178,"Lemme At'em Goring Blade Erichthonios Tick  1471 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
00:22.579,Lemme At'em prepares  attack  on Erichthonios *2823*+46% damage
00:22.668,Lemme At'em Atonement Erichthonios 11653
00:23.113,Lemme At'em attack Erichthonios *2823*
00:23.783,Lemme At'em prepares  Fast Blade  on Erichthonios *8536*+46% damage
00:24.405,Lemme At'em Fast Blade Erichthonios *8536*
00:24.850,Lemme At'em prepares  attack  on Erichthonios *2626*+38% damage
00:25.206,"Lemme At'em Goring Blade Erichthonios Tick  1771 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
00:25.383,Lemme At'em attack Erichthonios *2626*
00:26.273,Lemme At'em prepares  Riot Blade  on Erichthonios 7315 (+43%)+38% damage
00:27.029,Lemme At'em Riot Blade Erichthonios 7315 (+43%)
00:27.118,Lemme At'em prepares  attack  on Erichthonios 1748+38% damage
00:27.654,Lemme At'em attack Erichthonios 1748
00:28.189,"Lemme At'em Goring Blade Erichthonios Tick  1539 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage"
00:28.678,Lemme At'em prepares  Goring Blade  on Erichthonios 6306 (+60%)+38% damage
00:29.212,Lemme At'em Goring Blade Erichthonios 6306 (+60%)
00:29.391,Lemme At'em prepares  attack  on Erichthonios 1242+5% damage
00:29.925,Lemme At'em attack Erichthonios 1242
00:31.086,Lemme At'em prepares  Holy Spirit  on Erichthonios 9785+5% damage
00:31.175,"Lemme At'em Goring Blade Erichthonios Tick  1818 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:31.664,Lemme At'em prepares  attack  on Erichthonios 1284+5% damage
00:31.843,Lemme At'em Holy Spirit Erichthonios 9785
00:32.200,Lemme At'em attack Erichthonios 1284
00:33.584,Lemme At'em prepares  Holy Spirit  on Erichthonios 10484+5% damage
00:33.938,Lemme At'em prepares  attack  on Erichthonios *2129*+5% damage
00:34.206,"Lemme At'em Goring Blade Erichthonios Tick  2089 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:34.339,Lemme At'em Holy Spirit Erichthonios 10484
00:34.474,Lemme At'em attack Erichthonios *2129*
00:35.055,Lemme At'em prepares  Circle of Scorn  on Erichthonios 1845+5% damage
00:36.078,Lemme At'em Circle of Scorn Erichthonios 1845
00:36.078,Lemme At'em prepares  Holy Spirit  on Erichthonios *15592*+5% damage
00:36.212,Lemme At'em prepares  attack  on Erichthonios 1281+5% damage
00:36.747,Lemme At'em attack Erichthonios 1281
00:36.836,Lemme At'em Holy Spirit Erichthonios *15592*
00:37.194,"Lemme At'em Goring Blade Erichthonios Tick  1664 (T: 1625, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1646.51, M: 1.38, S: 1947)+38% damage"
00:37.194,"Lemme At'em Circle of Scorn Erichthonios Tick  585 (T: 571, C: 24.2%, D: 19.2%, P/R: 18.36, G: 578.21, M: 1.05, S: 684)+5% damage"
00:38.487,Lemme At'em prepares  attack  on Erichthonios *2059*+5% damage
