Ability,Ability_Icon
Abdomen Tear,Abdomen_Tear.png
Aurora,Aurora.png
Blasting Zone,Blasting_Zone.png
Bloodfest,Bloodfest.png
Bow Shock,Bow_Shock.png
Brutal Shell,Brutal_Shell.png
Burst Strike,Burst_Strike.png
Camouflage,Camouflage.png
Continuation,Continuation.png
Danger Zone,Danger_Zone.png
Demon Slaughter,Demon_Slaughter.png
Demon Slice,Demon_Slice.png
Double Down,Double_Down.png
Eye Gouge,Eye_Gouge.png
Fated Circle,Fated_Circle.png
Gnashing Fang,Gnashing_Fang.png
Heart of Corundum,Heart_of_Corundum.png
Heart of Light,Heart_of_Light.png
Heart of Stone,Heart_of_Stone.png
Hypervelocity,Hypervelocity.png
Jugular Rip,Jugular_Rip.png
Keen Edge,Keen_Edge.png
Lightning Shot,Lightning_Shot.png
Nebula,Nebula.png
No Mercy,No_Mercy.png
Rough Divide,Rough_Divide.png
Royal Guard,Royal_Guard.png
Savage Claw,Savage_Claw.png
Solid Barrel,Solid_Barrel.png
Sonic Break,Sonic_Break.png
Superbolide,Superbolide.png
Wicked Talon,Wicked_Talon.png
